,Time,Length
22635,60.215182999999996,14
22636,60.215284999999994,13
22637,60.215284999999994,12
22638,60.227239000000004,13
22639,60.227239000000004,14
22640,60.227239000000004,15
22641,60.227239000000004,16
22642,60.227239000000004,17
22643,60.227239000000004,18
22644,60.227239000000004,19
22645,60.227239000000004,20
22646,60.234922,19
22647,60.234922,18
22648,60.234922,17
22649,60.234922,16
22650,60.234922999999995,15
22651,60.251976,16
22652,60.251976,17
22653,60.251976,18
22654,60.251976,19
22655,60.251976,20
22656,60.251976,21
22657,60.251976,22
22658,60.251976,23
22659,60.254557999999996,22
22660,60.254557999999996,21
22661,60.254674,20
22662,60.254674,19
22663,60.254674,18
22664,60.254674,17
22665,60.254674,16
